NL,OCL,src
An Actor must have a name.,name->notEmpty(),1.1
The ExtensionPoints referenced by the Extend relationship must belong to the UseCase that is being extended.,extensionLocation->forAll (xp | extendedCase.extensionPoint->includes(xp)),1.1
An ExtensionPoint must have a name.,name->notEmpty (),1.1
UseCases can only be involved in binary Associations.,"Association.allInstances()->forAll(a | a.memberEnd.type->includes(self) implies
a.memberEnd->size() = 2)",1.1
UseCases cannot have Associations to UseCases specifying the same subject.,"Association.allInstances()->forAll(a | a.memberEnd.type->includes(self) implies
(
let usecases: Set(UseCase) = a.memberEnd.type->select(oclIsKindOf(UseCase))-
>collect(oclAsType(UseCase))->asSet() in
usecases->size() > 1 implies usecases->collect(subject)->size() > 1
)
)",1.1
A UseCase cannot include UseCases that directly or indirectly include it.,not allIncludedUseCases()->includes(self),1.1
A UseCase must have a name.,name -> notEmpty (),1.1
The association ends of a CommunicationPath are typed by DeploymentTargets.,endType->forAll (oclIsKindOf(DeploymentTarget)),1.1
The DeploymentTarget of a DeploymentSpecification is a kind of ExecutionEnvironment.,deployment->forAll (location.oclIsKindOf(ExecutionEnvironment)),1.1
"The deployedElements of a DeploymentTarget that are involved in a Deployment that has an associated
Deployment-Specification is a kind of Component (i.e., the configured components).",deployment->forAll (location.deployedElement->forAll (oclIsKindOf(Component))),1.1
The internal structure of a Node (if defined) consists solely of parts of type Node.,part->forAll(oclIsKindOf(Node)),1.1
"The sources and targets of the information flow can only be one of the following kind: Actor, Node, UseCase,
Artifact, Class, Component, Port, Property, Interface, Package, ActivityNode, ActivityPartition, Behavior and
InstanceSpecification except when its classifier is a relationship (i.e. it represents a link).","(self.informationSource->forAll( sis |
oclIsKindOf(Actor) or oclIsKindOf(Node) or oclIsKindOf(UseCase) or oclIsKindOf(Artifact)
or
oclIsKindOf(Class) or oclIsKindOf(Component) or oclIsKindOf(Port) or oclIsKindOf(Property)
or
oclIsKindOf(Interface) or oclIsKindOf(Package) or oclIsKindOf(ActivityNode) or
oclIsKindOf(ActivityPartition) or
(oclIsKindOf(InstanceSpecification) and not
sis.oclAsType(InstanceSpecification).classifier->exists(oclIsKindOf(Relationship)))))
and
(self.informationTarget->forAll( sit |
oclIsKindOf(Actor) or oclIsKindOf(Node) or oclIsKindOf(UseCase) or oclIsKindOf(Artifact)
or
oclIsKindOf(Class) or oclIsKindOf(Component) or oclIsKindOf(Port) or oclIsKindOf(Property)
or
oclIsKindOf(Interface) or oclIsKindOf(Package) or oclIsKindOf(ActivityNode) or
oclIsKindOf(ActivityPartition) or
(oclIsKindOf(InstanceSpecification) and not sit.oclAsType(InstanceSpecification).classifier-
>exists(oclIsKindOf(Relationship)))))",1.1
An information flow can only convey classifiers that are allowed to represent an information item.,"self.conveyed->forAll(oclIsKindOf(Class) or oclIsKindOf(Interface)
or oclIsKindOf(InformationItem) or oclIsKindOf(Signal) or oclIsKindOf(Component))",1.1
"The sources and targets of an information item (its related information flows) must designate subsets of the
sources and targets of the representation information item, if any. The Classifiers that can realize an
information item can only be of the following kind: Class, Interface, InformationItem, Signal, Component.","(self.represented->select(oclIsKindOf(InformationItem))->forAll(p |
p.conveyingFlow.source->forAll(q | self.conveyingFlow.source->includes(q)) and
p.conveyingFlow.target->forAll(q | self.conveyingFlow.target->includes(q)))) and
(self.represented->forAll(oclIsKindOf(Class) or oclIsKindOf(Interface) or
oclIsKindOf(InformationItem) or oclIsKindOf(Signal) or oclIsKindOf(Component)))",1.1
"An informationItem has no feature, no generalization, and no associations.",self.generalization->isEmpty() and self.feature->isEmpty(),1.1
isFrame and isActivityFrame must not be true at the same time.,not (isActivityFrame and isFrame),1.1
modelElement must be an Association end.,not modelElement->forAll(association->isEmpty()),1.1
UMLAssociationOrConnectorOrLinkShapes must have exactly one modelElement.,modelElement->size()=1,1.1
"modelElement must be an Association, Connector, or InstanceSpecification with an Association classifier.","modelElement->asSequence()->first().oclIsKindOf(Association) or modelElement-
>asSequence()->first().oclIsKindOf(Connector)
or ( modelElement->asSequence()->first().oclIsKindOf(InstanceSpecification)
and (modelElement->asSequence()->first().oclAsType(InstanceSpecification).classifier-
>select(oclIsKindOf(Association))->size() > 0))",1.1
"For diamond kind and an Association modelElement, the Association has exactly two memberEnds, and
exactly two of the UMLEdges linked to the shape have those memberEnds as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(Association))) implies
let association : Association = modelElement->any(true).oclAsType(Association) in
((association.memberEnd->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)->select(em |
association.memberEnd->includes(em))->size()=2))",1.1
"For diamond kind and an InstanceSpecification modelElement, exactly one Association classifier of the
InstanceSpecification has exactly two memberEnds and exactly two of the UMLEdges linked to the shape have
those memberEnds as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(InstanceSpecification))) implies
let instanceSpecification : InstanceSpecification = modelElement-
>any(true).oclAsType(InstanceSpecification) in
(instanceSpecification.classifier->select(a | a.oclIsKindOf(Association) and
(a.oclAsType(Association).memberEnd->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)
->select(e | a.oclAsType(Association).memberEnd->includes(e.modelElement))
->size()=2))
->size()=1)",1.1
"For diamond kind and a Connector modelElement, the Connector has exactly two ends, and exactly two of the
UMLEdges linked to the shape have definingEnds of those ends as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(Connector))) implies
let connector : Connector = modelElement->any(true).oclAsType(Connector) in
((connector.end->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)->select(em |
connector.end.definingEnd->includes(em))->size()=2))",1.1
UMLClassDiagrams must have no modelElements.,modelElement->isEmpty(),1.1
isDoubleSided may be true only when modelElement is an active Class.,"isDoubleSided implies (modelElement->forAll(oclIsKindOf(Class)) and
modelElement.oclAsType(Class)->forAll(isActive))",1.1
UMLCompositeStructureDiagrams must have exactly one modelElement.,modelElement->size() = 1,1.1
"modelElement must be a StructuredClassifier or an InstanceSpecification with a classifier that is a
StructuredClassifier.","modelElement->asSequence()->first().oclIsKindOf(StructuredClassifier)
or ( modelElement->asSequence()->first().oclIsKindOf(InstanceSpecification)
and (modelElement->asSequence()->first().oclAsType(InstanceSpecification).classifier-
>select(c | c.oclIsKindOf(StructuredClassifier))->size() > 0))",1.1
"UMLDiagrams cannot have headings without frames, or vice-versa.",(isFrame = false) = (heading->isEmpty()),1.1
The modelElement of the heading is the same as the modelElement of the diagram it heads.,(heading->isEmpty()) or (heading.modelElement = modelElement),1.1
UMLLabels must have no more than one modelElement.,modelElement->size() <= 1,1.1
UMLLabels must have the value of false for isIcon.,isIcon=false,1.1
isInheritedDashed and isInheritedLighter cannot both have a value of true.,not (isInheritedDashed and isInheritedLighter),1.1
"UMLStateShapes may have multiple modelElements only when their outgoing Transitions have no triggers or
effects, and target the same junction State that has one outgoing Transition.","(modelElement->size() > 1) implies
( modelElement->forAll(outgoing->forAll(trigger->isEmpty() and
effect->isEmpty()
and
target.oclIsKindOf(Pseudostate) and
target.oclAsType(Pseudostate).kind = PseudostateKind::junction and
target.outgoing-
>size() = 1))
and modelElement.outgoing.target->asSet()->size()=1)",1.1
modelElement is a Property of a Stereotype.,modelElement->forAll(classifier.oclIsKindOf(Stereotype)),1.1
fontSize must be greater than zero.,fontSize > 0,1.1
"The referenceUnit shall not be a PrefixedUnit, i.e., it is not allowed to prefix an already prefixed
measurement unit. In general the referenceUnit should be a SimpleUnit.
",not referenceUnit.oclIsTypeOf(PrefixedUnit),1.2
The denominator of a rational number shall not be zero.,denominator <> 0,1.2
A QuantityKind cannot be defined in terms of itself. This follows from the quantity calculus used for expressing a derived QuantityKind in terms of base QuantityKinds chosen for a SystemOfQuantities by means of non- contradictory equations,"dependsOnQuantityKinds()->excludes(self)
",1.2
"For a QuantityKind to have a provenance to a single SystemOfQuantities, all included systems of quantities
shall be transitively disjoint with all used systems of quantities.","allIncludedSystemOfQuantities()->intersection(self.oclAsSet()
->closure(usedSystemOfQuantities))->isEmpty()",1.2
"The set of all QuantityKinds in a given SystemOfQuantities shall be partitioned into two disjoint, covering subsets: 
the set of base QuantityKinds (typically chosen to be mutually independent) and its complement, the 
set of derived QuantityKinds, each of which can be expressed in terms of the base QuantityKinds",allQuantityKinds()->includesAll(allBaseQuantityKinds()),1.2
" Every QuantityKind shall be defined in only one SystemOfQuantities but it can be in the scope of several 
SystemOfQuantities. A given QuantityKind is in scope of a SystemOfQuantities either because it is defined or used in a 
SystemOfQuantities or because it is included from the scope of another SystemOfQuantities.","includedSystemOfQuantities->collect(allQuantityKinds())
->intersection(quantityKind)->isEmpty()",1.2
"For a QuantityKind to have a provenance to a single SystemOfQuantities, the use and includes relationships among 
SystemOfQuantities shall be acyclic.",allAccessibleSystemOfQuantities()->excludes(self),1.2
" In a well-formed SystemOfUnits, all of the prefixes of PrefixedUnits shall be defined in the SystemOfUnits.","allPrefixes()->includesAll(allUnits()->select(oclIsTypeOf(PrefixedUnit))
->collect(oclAsType(PrefixedUnit).prefix))",1.2
All the dependent Units of a SystemOfUnits shall be in the scope of that SystemOfUnits.,allUnits()->includesAll(allUnits()->collect(dependsOnUnits())->flatten()->asSet()),1.2
" All of the quantityKinds that are measurementUnits of Units in the SystemOfUnits shall be defined in the 
systemOfQuantities of that SystemOfUnits.","getEffectiveSystemOfQuantities() = null or let aqk : Set(QuantityKind) = 
getEffectiveSystemOfQuantities().allQuantityKinds() in ->allUnits()
->forAll(u | aqk
->includesAll(getKindOfQuantitiesForMeasurementUnit(u)))",1.2
"For a Unit to have a provenance to a single SystemOfUnits, all included systems of units shall be transitively disjoint 
with all used systems of units.","allIncludedSystemOfUnits()->intersection(self.oclAsSet()
->closure(usedSystemOfUnits))->isEmpty()",1.2
" The set of all Units in a given SystemOfUnits shall be capable of being partitioned into two disjoint, covering subsets: 
the set of base Units (typically chosen to be mutually independent) and all its complement, the set of derived Units, each of which can be expressed in terms of the base Units",allUnits()->includesAll(allBaseUnits()),1.2
"Every Unit shall be defined in only one SystemOfUnits but it can be in the scope of several SystemOfUnits. A given 
Unit is in scope of a SystemOfUnits either because it is defined or used in a SystemOfUnits or because it is included 
from the scope of another SystemOfUnits.",includedSystemOfUnits->collect(allUnits())->intersection(unit)->isEmpty()),1.2
" For a Unit to have a provenance to a single SystemOfUnits, the use and includes relationships among SystemOfUnits 
shall be acyclic.",allAccessibleSystemOfUnits()->excludes(self),1.2
"A Unit cannot be defined in terms of itself. This follows from the requirement that, in a coherent SystemOfUnits, the Units of all derived QuantityKinds are expressed in terms of the base Units in accordance with the equations in the SystemOfQuantities",dependsOnUnits()->excludes(self),1.2
The client shall be an element stereotyped by View.,View.allInstances()->exists(v | v.base_Class = self.base_Dependency.client),1.2
"A Stakeholder stereotype can only be applied to UML::Actor or UML::Class which are not a
UML::Association.","self.base_Classifier.oclIsKindOf(UML::Actor)
or
(self.base_Classifier.oclIsKindOf(UML::Class)
and
not self.base_Classifier.oclIsKindOf(UML::Association))",1.2
"The stakeholder stereotype can only be applied to UML::Actor or UML::Class which are not a
UML::Association","(self.base_Classifier.oclIsKindOf(UML::Actor) or
self.base_Classifier.oclIsKindOf(UML::Class))
and not self.base_Classifier.oclIsKindOf(UML::Association)",1.2
A view shall only conform to a single viewpoint,"Conform.allInstances()->select(base_Generalization.specific = self.base_Class)
->size() = 1",1.2
"The derived value of the viewpoint shall be the classifier stereotyped by Viewpoint that is the general classifier
of the generalization relationship stereotyped by Conform for which the View is the specific classifier","self.viewpoint = Viewpoint.allInstances()->any(base_Class = Conform.allInstances()
->any(base_Generalization.specific = self.base_Class).base_Generalization.general)",1.2
"The derived values of the stakeholder attribute shall be the classifiers stereotyped by Stakeholder that are the
values of the stakeholder attribute of the general classifier of the generalization relationship stereotyped by
Conform for which the View is the specific classifier.","self.stakeholder = Viewpoint.allInstances()->any(base_Class = Conform.allInstances()
->any(base_Generalization.specific =
self.base_Class).base_Generalization.general).stakeholder",1.2
"The derived values of the method attribute shall be the names of the methods of the operations stereotyped by
the UML Create stereotype on the classifier stereotyped by Viewpoint.","self.method = self.base_Class.allFeatures()->select(f |
f.oclIsKindOf(UML::Operation))->select(o |
Standard::Create.allInstances().base_BehavioralFeature
->includes(o)).oclAsType(UML::Operation).method",1.2
The general classifier shall be an element stereotyped by Viewpoint,Viewpoint.allInstances()->exists(v | v.base_Class = self.base_Generalization.general),1.2
The specific classifier shall be an element that is stereotyped by View,View.allInstances()->exists(v | v.base_Class = self.base_Generalization.specific),1.2
"Properties with AdjunctProperty applied that have a Variable or Parameter as principal shall have a lower
multiplicity the same as or lower than the lower multiplicity of their principal, and an upper multiplicity the
same as or higher than the upper multiplicity of their principal","self.principal.oclIsKindOf(UML::MultiplicityElement) implies self.base_Property.lower
<= self.principal.oclAsType(UML::MultiplicityElement).lower and
self.base_Property.upper >= self.principal.oclAsType(UML::MultiplicityElement).upper",1.2
"Properties with AdjunctProperty applied that have an InteractionUse or submachine State as principal shall be
composite and be typed by the interaction or state machine invoked by the interaction use or submachine State
or one of their generalizations.","self.principal.oclIsKindOf(UML::InteractionUse) or
self.principal.oclIsKindOf(UML::State) implies let behavior: UML::Behavior = if
self.principal.oclIsKindOf(UML::InteractionUse) then
self.principal.oclAsType(UML::InteractionUse).refersTo else
self.principal.oclAsType(UML::State).submachine endif in if behavior.oclIsUndefined()
then self.base_Property.type->isEmpty() else self.base_Property.type->notEmpty() and
behavior->closure(generalization)->including(behavior)
->includes(self.base_Property.type) endif",1.2
"The principal of an applied AdjunctProperty shall be a Connector, CallAction, ObjectNode, Variable, Parameter,
submachine State, or InteractionUse.","self.principal.oclIsKindOf(UML::Connector) or
self.principal.oclIsKindOf(UML::CallAction) or
self.principal.oclIsKindOf(UML::ObjectNode) or self.principal.oclIsKindOf(UML::Variable) or
self.principal.oclIsKindOf(UML::Parameter) or
self.principal.oclIsKindOf(UML::InteractionUse) or
(self.principal.oclIsKindOf(UML::State) and
self.principal.oclAsType(UML::State).isSubmachineState)",1.2
"Properties to which AdjunctProperty applied shall have the same name as the principal, if the principal is a
NamedElement.","self.principal.oclIsKindOf(UML::NamedElement) implies self.base_Property.name =
self.principal.oclAsType(UML::NamedElement).name",1.2
Properties with AdjunctProperty applied that have a Connector or CallAction as principal shall be composite.,"self.principal.oclIsKindOf(UML::Connector) or
self.principal.oclIsKindOf(UML::CallAction) implies self.base_Property.isComposite()",1.2
"Properties with AdjunctProperty applied shall be owned by an element that owns the principal, at least
indirectly, or one of that elements specializations.","let owners: Set(UML::Element) = self.principal->closure(owner) in let
specializations: Set(UML::Element) = UML::Classifier.allInstances()->select(c |
c->closure(general)->intersection(owners)->notEmpty()) in owners
->union(specializations)->includes(self.base_Property.owner)",1.2
"Properties with AdjunctProperty applied that have as principal a Connector, ObjectNode, Variable, or Parameter
shall have the same type as the principal or one of that types generalizations","self.principal.oclIsKindOf(UML::Connector) or
self.principal.oclIsKindOf(UML::Variable) or
self.principal.oclIsKindOf(UML::Parameter) implies let principal_type:
UML::Classifier = if self.principal.oclIsKindOf(UML::Connector) then
self.principal.oclAsType(UML::Connector).type else
self.principal.oclAsType(UML::TypedElement).type.oclAsType(UML::Classifier) endif in
principal_type->closure(general)->including(principal_type)
->includes(self.base_Property.type)",1.2
Connectors that are principals of an applied AdjunctProperty shall have association blocks as types,"self.principal.oclIsKindOf(UML::Connector) implies let type: UML::Association =
self.principal.oclAsType(UML::Connector).type in Block.allInstances().base_Class
->includes(type)",1.2
"AdjunctProperty and ConnectorProperty applied to the same property shall have the same values for principal
and connector, respectively.","AdjunctProperty.allInstances()->forAll(ap | let cp: ConnectorProperty =
ConnectorProperty.allInstances()->any(base_Property=ap.base_Property) in (not
cp.oclIsUndefined()) implies cp.connector = ap.principal) ",1.2
"Properties with AdjunctProperty applied that have a CallAction as principal shall be composite and be typed by
the behavior invoked by the call action or one of that behaviors generalizations (for CallOperationAct ions, this
shall generalize all behaviors that might be dispatched), and an upper multiplicity of one if the CallAction
invokes a nonreentrant behavior.","self.principal.oclIsKindOf(UML::CallAction) implies if
self.principal.oclIsKindOf(UML::CallOperationAction) then let called:
Set(UML::Behavior) =
self.principal.oclAsType(UML::CallOperationAction).operation.method in if called
->isEmpty() then self.base_Property.type->isEmpty() else self.base_Property.type
->notEmpty() and called->forAll(b | b.general->including(b)
->includes(self.base_Property.type)) endif else let called: UML::Behavior = if
self.principal.oclIsKindOf(UML::CallBehaviorAction) then
self.principal.oclAsType(UML::CallBehaviorAction).behavior else
self.principal.oclAsType(UML::StartObjectBehaviorAction).behavior() endif in if
called.oclIsUndefined() then self.base_Property.type.oclIsUndefined() else let
behaviors: Set(UML::Behavior) = called
->closure(generalization).oclAsType(UML::Behavior)->including(called)->asSet() in
self.base_Property.type->notEmpty() and behaviors->includes(self.base_Property.type)
endif endif",1.2
"Properties with AdjunctProperty applied that have an ObjectNode as principal shall have a lower multiplicity of
zero and an upper multiplicity the same as or higher than the upperBound of the ObjectNode.","self.principal.oclIsKindOf(UML::ObjectNode) implies self.base_Property.lower = 0 and
self.base_Property.upper >=
self.principal.oclAsType(UML::ObjectNode).upperBound.unlimitedValue()",1.2
"The two ends of a binding connector shall have either the same type or types that are compatible so that equality
of their values can be defined.","self.base_Connector.end->at(1).role.type.conformsTo(self.base_Connector.end
->at(2).role.type) or self.base_Connector.end
->at(2).role.type.conformsTo(self.base_Connector.end->at(1).role.type)",1.2
"For an association in which both ends are typed by blocks, the number of ends shall be exactly two.","UML::Association.allInstances()->select(a| a.memberEnd->forAll(e| e.type->notEmpty()
and Block.allInstances().base_Class->includes(e.type)))->forAll(a | a.memberEnd
->size()=2)",1.2
"The number of ends of a connector owned by a block shall be exactly two. (In SysML, a binding connector is
not typed by an association, so this constraint is not implied entirely by the preceding constraint.)",self.base_Class.ownedConnector->forAll(c | c.end->size()=2 ),1.2
"If a property owned by a SysML Block or SysML ValueType is typed by a SysML ValueType, then the
aggregation attribute of the property shall be ""composite.""","self.base_Class.ownedAttribute->select(a| ValueType.allInstances().base_DataType
->includes(a.type))->forAll(a|a.isComposite())",1.2
"Within an instance of a SysML Block, the values of any property with composite aggregation (aggregation =
composite) shall not contain the block in any of its own properties that also have composite aggregation, or
within any unbroken chain of properties that all have composite aggregation. (Within an instance of a SysML
Block, the instances of properties with composite aggregation shall form an acyclic graph.)","self.base_Class->closure(part-
>select(p|p.type.oclIsKindOf(UML::Class)).type.oclAsType(UML::Class))
->excludes(self.base_Class)",1.2
Any classifier that specializes a Block shall also have the Block stereotype or one of its specializations applied,"UML::Classifier.allInstances()->select(c | c.general->includes(self.base_Class))
->forAll(c | Block.allInstances()->includes(c))",1.2
"Properties to which BoundReference is applied shall be the role of a connector end of at least one binding
connector, or generalized by such a property through redefinition","BindingConnector.allInstances().base_Connector.end.role->exists(r |
r=self.base_Property or self.base_Property->closure(redefinedElement)->includes(r))",1.2
"The value of boundEnd shall be a connector end of a binding connector, as identified in constraint 1, opposite
the property, as identified in constraint 1.","let opposite: UML::ConnectorEnd = BindingConnector.allInstances().base_Connector.end
->any(e | e.role=self.base_Property or self.base_Property->closure(redefinedElement)
->includes(e.role)) in self.boundEnd = opposite.owner.oclAsType(UML::Connector).end
->any(e | e<>opposite)",1.2
"The role of boundEnd shall be a property accessible by navigation from instances of the block owning the
property to which BoundReference is applied, but shall not be the property to which BoundReference is applied,
or one that it is related to by redefinition.","self.base_Property.association->notEmpty() and self.boundEnd.definingEnd->notEmpty()
and self.base_Property.association.navigableOwnedEnd
->includes(self.boundEnd.definingEnd)",1.2
"self.base_Property.association->notEmpty() and self.boundEnd.definingEnd->notEmpty()
and self.base_Property.association.navigableOwnedEnd
->includes(self.boundEnd.definingEnd)","self.boundEnd = self.bindingPath->last() and (let nce: NestedConnectorEnd =
NestedConnectorEnd.allInstances()->any(n| n.base_ConnectorEnd=self.boundEnd) in nce
->oclIsUndefined() or self.bindingPath->subSequence(1, self.bindingPath->size()-1) =
nce.propertyPath)",1.2
Properties to which BoundReference is applied shall either be reference properties or value properties.,"ValueType.allInstances().base_DataType->includes(self.base_Property.type) or not
self.base_Property.isComposite()",1.2
"Properties with BoundReference applied that have an upper multiplicity greater than one shall be ordered and
non-unique.","self.base_Property.upper > 1 implies self.base_Property.isOrdered and not
self.base_Property.isUnique",1.2
"BoundReferences shall not be applied to properties that are related by redefinition to other properties with
BoundReference applied.","self.base_Property.redefinedElement->notEmpty() implies
BoundReference.allInstances().base_Property
->excludesAll(self.base_Property.redefinedElement)",1.2
"The binding connector identified in constraint 1 shall not have the same property on both ends, or properties
related by redefinition.","let e1: UML::ConnectorEnd = self.boundEnd.owner.oclAsType(UML::Connector).end->at(1)
in let e2: UML::ConnectorEnd = self.boundEnd.owner.oclAsType(UML::Connector).end
->at(2) in e1.role <> e2.role and (e1.role.oclIsKindOf(UML::Property) and
e2.role.oclIsKindOf(UML::Property) implies
e1.role.oclAsType(UML::Property).redefinedElement->excludes(e2.role) and
e2.role.oclAsType(UML::Property).redefinedElement->excludes(e1.role))",1.2
"ClassifierBehaviorProperty shall only be applied to properties owned (not inherited) by blocks that have
classifier behaviors.","Block.allInstances().base_Class->exists(c | c.ownedAttribute
->includes(self.base_Property) and c.classifierBehavior->notEmpty())",1.2
Properties to which ClassifierBehaviorProperty is applied shall be composite,self.base_Property.isComposite,1.2
"Properties to which ClassifierBehaviorProperty applied shall be typed by the classifier behavior of their owning
block or a generalization of the classifier behavior.","let clBehavior: UML::Behavior =
self.base_Property.owner.oclAsType(UML::Class).classifierBehavior in
self.base_Property.type->notEmpty() and clBehavior->closure(general)
->including(clBehavior)->includes(self.base_Property.type)",1.2
ConnectorProperty shall only be applied to properties of classes stereotyped by Block,"Block.allInstances().base_Class->exists(c | c.ownedAttribute
->includes(self.base_Property))",1.2
"The connector attribute of the applied stereotype shall refer to a connector owned or inherited by a block owning
the property on which the stereotype is applied.","let owner: UML::Class = Block.allInstances().base_Class->any(c | c.ownedAttribute
->includes(self.base_Property)) in owner->closure(general)
->select(oclIsKindOf(UML::Class)).oclAsType(UML::Class).ownedConnector->flatten()
->includes(self.connector)",1.2
The type of the connector referred to by a connector attribute shall be an association class stereotyped by Block.,"Block.allInstances().base_Class->exists(c | c.oclIsKindOf(UML::AssociationClass) and
self.connector.type = c)",1.2
"A property stereotyped by ConnectorProperty shall have the same name and type as the connector referred to by
the connector attribute.",self.base_Property.name = self.connector.name,1.2
"sourceContext shall have a value when source is a property, otherwise it shall not have a value",self.base_DirectedRelationship.source->exists(s | s.oclIsKindOf(UML::Property)) xor self.sourceContext->isEmpty(),1.2
"targetContext shall have a value when target is a property, otherwise it shall not have a value","self.base_DirectedRelationship.source->exists(s | s.oclIsKindOf(UML::Property)) xor
self.sourceContext->isEmpty()",1.2
source shall be a property when sourcePropertyPath has a value.,"self.sourcePropertyPath->notEmpty() implies self.base_DirectedRelationship.source
->forAll(s | s.oclIsKindOf(UML::Property)) ",1.2
target shall be a property when targetPropertyPath has a value.,"self.targetPropertyPath->notEmpty() implies self.base_DirectedRelationship.target
->forAll(s | s.oclIsKindOf(UML::Property))",1.2
"The property in the first position of the sourcePropertyPath list, if any, shall be owned by the sourceContext or
one of its generalizations","self.sourcePropertyPath->notEmpty() implies self.sourceContext.allAttributes()
->includes(self.sourcePropertyPath->first())",1.2
"The property in the first position of the targetPropertyPath list, if any, shall be owned by the targetContext or
one of its generalizations.","self.targetPropertyPath->notEmpty() implies self.targetContext.allAttributes()
->includes(self.targetPropertyPath->first())",1.2
"The property at each successive position of the sourcePropertyPath and targetPropertyPath, following the first
position, shall be owned by the Block or ValueType that types the property at the immediately preceding
position, or a generalization of the Block or ValueType.","(self.sourcePropertyPath->size() >1 implies self.sourcePropertyPath->subSequence(2,
self.sourcePropertyPath->size())->forAll(p | let pp: UML::Property =
self.sourcePropertyPath->at(self.sourcePropertyPath->indexOf(p)-1) in let owners:
Set(UML::Classifier) = pp.type.oclAsType(UML::Classifier)
->including(pp.type.oclAsType(UML::Classifier)) in owners->includes(p.owner))) and (self.targetPropertyPath->size() >1 implies self.targetPropertyPath->subSequence(2,
self.targetPropertyPath->size())->forAll(p | let pp: UML::Property =
self.targetPropertyPath->at(self.targetPropertyPath->indexOf(p)-1) in let owners:
Set(UML::Classifier) = pp.type.oclAsType(UML::Classifier)
->including(pp.type.oclAsType(UML::Classifier)) in owners->includes(p.owner)))",1.2
"The type of the property at the last position of the sourcePropertyPath list shall own or inherit the source of the
stereotyped directed relationship.","self.sourcePropertyPath->notEmpty() implies self.sourcePropertyPath
->last().type.oclAsType(UML::Classifier).allAttributes()
->includesAll(self.base_DirectedRelationship.source)",1.2
"The type of the property at the last position of the targetPropertyPath list shall own or inherit the target of the
stereotyped directed relationship.","self.targetPropertyPath->notEmpty() implies self.targetPropertyPath
->last().type.oclAsType(UML::Classifier).allAttributes()
->includesAll(self.base_DirectedRelationship.target)",1.2
"The DistributedProperty stereotype shall only be applied to properties of classifiers stereotyped by Block or
ValueType.","Block.allInstances().base_Class.oclAsType(UML::Classifier)
->union(ValueType.allInstances().base_DataType)->includes(self.base_Property.owner)",1.2
"The property at each successive position of the propertyPath attribute, following the first position, shall be
owned by the Block or ValueType that types the property at the immediately preceding position, or a
generalization of the Block or ValueType.","self.propertyPath->size() >1 implies self.propertyPath->subSequence(2,
self.propertyPath->size())->forAll(p | let pp: UML::Property = self.propertyPath
->at(self.propertyPath->indexOf(p)-1) in let owners: Set(UML::Classifier) =
pp.type.oclAsType(UML::Classifier)->including(pp.type.oclAsType(UML::Classifier)) in
owners->includes(p.owner))",1.2
"Properties to which EndPathMultiplicity is applied shall be related by redefinition to a property to which
BoundReference is applied.","self.base_Property.redefinedProperty->notEmpty() and
BoundReference.allInstances().base_Property->exists(p |
self.base_Property.redefinedProperty->includes(p))",1.2
endPathLower shall be non-negative.,self.lower >= 0,1.2
"The first property in propertyPath shall be owned by the block that owns the connector, or one of the blocks generalizations."," let owningBlock: UML::Class =
 self.base_ConnectorEnd.owner.oclAsType(UML::Connector).owner.oclAsType(UML::Class)
in (not owningBlock.oclIsUndefined()) and owningBlock->closure(general)
 ->including(owningBlock)->includes(self.propertyPath->first().owner) ",1.2
The type of the property at the last position of the propertyPath list shall own or inherit the role property of the stereotyped connector end,"let type: UML::Classifier =
self.propertyPath->last().type.oclAsType(UML::Classifier) in
not type.oclIsUndefined()) andtype.allFeatures()
->includes(self.base_ConnectorEnd.role)",1.2
ParticipantProperty shall only be applied to properties of association classes stereotyped by Block.,"self.base_Property.class.oclIsKindOf(UML::AssociationClass) and
 Block.allInstances().base_Class->includes(self.base_Property.class)",1.2
ParticipantProperty shall not be applied to properties that are member ends of an association., UML::Association.allInstances().memberEnd->flatten()->excludes(self.base_Property),1.2
The aggregation of a property stereotyped by ParticipantProperty shall be none, self.base_Property.aggregation = UML::AggregationKind::none,1.2
"The end attribute of the applied stereotype shall refer to a member end of the association block owning the
property on which the stereotype is applied.",self.base_Property.association.memberEnd->includes(self.end),1.2
"A property stereotyped by ParticipantProperty shall have the same type as the property referred to by the end
attribute",self.base_Property.type = self.end.type,1.2
A property to which the ParticipantProperty is applied shall have a multiplicity of 1.,self.base_Property.lower = 1 and self.base_Property.upper = 1,1.2
"A classifier to which the PropertySpecificType stereotype is applied shall be referenced as the type of one and only
one property",UML::Property.allInstances()->select(p | p.type = self.base_Classifier)->size() = 1,1.2
Any classifier that specializes a ValueType shall also have the ValueType stereotype applied,"UML::Classifier.allInstances()->forAll(c | c.general->includes(self.base_DataType)
implies ValueType.allInstances().base_DataType->includes(c))",1.2
